"Year","Make","Model","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"1990","Eagle","Premier","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9531","jr96d"
"1991","Eagle","Talon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9540","4px8v"
"1990","Eagle","Talon","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9539","zc29n"
"1997","Eagle","Vision","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9538","wvn94"
"1996","Eagle","Vision","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9537","ijwm7"
"1995","Eagle","Vision","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9536","xgqhr"
"1994","Eagle","Vision","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9535","n4b0c"
"1993","Eagle","Vision","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9534","l92lt"
"1992","Eagle","Premier","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9533","igwev"
"1991","Eagle","Premier","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9532","oxcv9"
"1990","Eagle","Eagle Vista","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9521","zvesf"
"1996","Eagle","Summit","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9530","sgdfo"
"1995","Eagle","Summit","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9529","ij7i9"
"1994","Eagle","Summit","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9528","bw5bp"
"1993","Eagle","Summit","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9527","2m1kf"
"1992","Eagle","Summit","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9526","blgnd"
"1991","Eagle","Summit","2023-06-03 14:18:07","2023-06-03 14:18:07","mkes99","mkes99","0","98.48.215.196","9525","wn2nb"
